問題文,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,年度,カテゴリ
ボリュームライセンス契約を説明したものはどれか。,企業などソフトウェアの大量購入者向けに，インストールできる台数をあらかじめ取り決め，ソフトウェアの使用を認める契約,使用場所を限定した契約であり，特定の施設の中であれば台数や人数に制限なく使用が許される契約,ソフトウェアをインターネットからダウンロードしたとき画面に表示される契約内容に同意するを選択することによって，使用が許される契約,標準の使用許諾条件を定め，その範囲で一定量のパッケージの包装を解いたときに，権利者と購入者との間に使用許諾契約が自動的に成立したとみなす契約,令和5年免除　問60 1問目,ストラテジ系 » 法務 » 労働関連・取引関連法規
コンピュータの高速化技術の一つであるメモリインターリーブに関する記述として，適切なものはどれか。,主記憶と入出力装置，又は主記憶同士のデータの受渡しをCPU経由でなく直接やり取りする方式,主記憶にデータを送り出す際に，データをキャッシュに書き込み，キャッシュがあふれたときに主記憶へ書き込む方式,主記憶のデータの一部をキャッシュにコピーすることによって，レジスタと主記憶とのアクセス速度の差を縮める方式,主記憶を複数の独立して動作するグループに分けて，各グループに並列にアクセスする方式,令和5年免除　問9 2問目,テクノロジ系 » コンピュータ構成要素 » メモリ
IPv4ネットワークにおいて，ネットワークの疎通確認に使われるものはどれか。,BOOTP,DHCP,MIB,ping,令和5年免除　問25 3問目,テクノロジ系 » ネットワーク » ネットワーク管理
定量発注方式における経済的発注量を計算したところ，600個であった。発注から納入までの調達期間は5日であり，安全在庫量が30個である場合，この購買品目の発注点は何個か。ここで，1日の平均消費量は50個であるとする。,220,250,280,300,令和5年免除　問57 4問目,ストラテジ系 » 企業活動 » 業務分析・データ利活用
"アルファベット3文字で構成されるキーがある。次の式によってハッシュ値hを決めるとき，キー""SEP""と衝突するのはどれか。ここで，a mod bは，aをbで割った余りを表す。  h＝(キーの各アルファベットの順位の総和) mod 27",APR,FEB,JAN,NOV,令和5年免除　問6 5問目,テクノロジ系 » アルゴリズムとプログラミング » アルゴリズム
受信した電子メールの送信元ドメインが詐称されていないことを検証する仕組みであるSPF(Sender Policy Framework)の特徴はどれか。,受信側のメールサーバが，受信メールの送信元IPアドレスから送信元ドメインを検索してDNSBLに照会する。,受信側のメールサーバが，受信メールの送信元IPアドレスと，送信元ドメインのDNSに登録されているメールサーバのIPアドレスとを照合する。,受信側のメールサーバが，受信メールの送信元ドメインから送信元メールサーバのIPアドレスを検索してDNSBLに照会する。,メール受信者のPCが，送信元ドメインから算出したハッシュ値と受信メールに添付されているハッシュ値とを照合する。,令和5年免除　問33 6問目,テクノロジ系 » セキュリティ » セキュリティ実装技術
イノベータ理論では，消費者を新製品の購入時期によって，イノベータ，アーリーアダプタ，アーリーマジョリティ，レイトマジョリティ，ラガードの五つに分類する。アーリーアダプタの説明として，適切なものはどれか。,新しい製品及び新技術の採用には懐疑的で，周囲の大多数が採用している場面を見てから採用する層,新商品，サービスなどを，リスクを恐れず最も早い段階で受容する層,新商品，サービスなどを早期に受け入れ，消費者に大きな影響を与える層であり，流行に敏感で，自ら情報収集を行い判断する層,世の中の動きに関心が薄く，流行が一般化してからそれを採用することが多い層であり，場合によっては不採用を貫く，最も保守的な層,令和5年免除　問54 7問目,ストラテジ系 » 経営戦略マネジメント » マーケティング
A社では，従業員が自宅のPCからインターネット経由で自社のネットワークに接続して仕事を行うテレワーキングの実施を計画している。A社が定めたテレワーキング運用規程について，情報セキュリティ管理基準(平成28年)に従って監査を実施した。判明した事項のうち，監査人が，指摘事項として監査報告書に記載すべきものはどれか。,テレワーキング運用規程に従うことを条件に，全ての従業員が利用できる。,テレワーキングで従業員が使用するPCは，A社から支給されたものに限定する。,テレワーキングで使用するPCへのマルウェア対策ソフト導入の要不要は，従業員それぞれが判断する。,テレワーキングで使用するPCを，従業員の家族に使用させない。,令和5年免除　問45 8問目,マネジメント系 » システム監査 » システム監査
3PL(3rd Party Logistics)を説明したものはどれか。,購買，生産，販売及び物流の一連の業務を，企業間で全体最適の視点から見直し，納期短縮や在庫削減を図る。,資材の調達から生産，保管，販売に至るまでの物流全体を，費用対効果が最適になるように総合的に管理し，合理化する。,電子・電機メーカーから，製品の設計や資材の調達，生産，物流，修理を一括して受託する。,物流業務に加え，流通加工なども含めたアウトソーシングサービスを行い，また荷主企業の物流企画も代行する。,令和5年免除　問53 9問目,ストラテジ系 » ビジネスインダストリ » エンジニアリングシステム
0～9の数字と空白文字を組み合わせて長さ3の文字列を作る。先頭1文字には数字を使えるが，空白文字は使えない。2文字目以降には空白文字も使えるが，空白文字の後に数字を並べることは許されない。何通りの文字列を作ることができるか。ここで，同じ数字の繰返し使用を許すものとする。,"1,110","1,111","1,210","1,331",令和5年免除　問2 10問目,テクノロジ系 » 基礎理論 » 応用数学
